3	Mutasi Rekening Bank	2025-10-15 08:40:25.061	2025-10-15 08:40:25.061
4	Rekap Pengeluaran	2025-10-15 08:40:25.357	2025-10-15 08:40:25.357
5	Kartu Keluarga	2025-10-15 09:51:31.714	2025-10-15 09:51:31.714
6	Bukti Potong	2025-10-15 09:51:31.714	2025-10-15 09:51:31.714
7	Akun DJP Online	2025-10-15 09:51:31.714	2025-10-15 09:51:31.714
8	Rekap Pemasukan	2025-11-13 09:16:35.836	2025-11-13 09:16:35.836
9	Rekap AP (Account Payable)	2025-11-13 09:16:37.014	2025-11-13 09:16:37.014
10	Rekap AR (Account Receivable)	2025-11-13 09:16:38.755	2025-11-13 09:16:38.755
11	Daftar Asset Perusahaan	2025-11-13 09:16:39.751	2025-11-13 09:16:39.751
12	Daftar Gaji Karyawan	2025-11-13 09:16:40.76	2025-11-13 09:16:40.76
13	Rekap Pajak Perusahaan	2025-11-13 09:16:41.781	2025-11-13 09:16:41.781
14	Stock Perusahaan (Jika Perusahaan Dagang)	2025-11-13 09:16:42.795	2025-11-13 09:16:42.795
15	AR (Account Receivable)	2025-11-14 06:42:01.601	2025-11-14 06:42:01.601
16	AP (Account Payable)	2025-11-14 06:42:01.601	2025-11-14 06:42:01.601
17	Akun PKP (Jika Sudah PKP)	2025-11-14 06:42:01.601	2025-11-14 06:42:01.601
18	Posisi Reklame	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
19	Lokasi Reklame	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
20	Tinggi Reklame	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
21	Luas Reklame	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
22	Foto-foto Reklame	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
23	NPWP Perusahaan	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
24	Nomor HP/WA Perusahaan	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
25	Email Perusahaan	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
26	NIB Perusahaan	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
27	KTP & NPWP Direksi	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
28	Akta Perusahaan Pendirian s/d Perubahan Terakhir	2025-11-14 06:42:11.433	2025-11-14 06:42:11.433
29	Bukti Potong PPh	2025-11-14 06:42:14.393	2025-11-14 06:42:14.393
30	SPT PPh 21 Pegawai	2025-11-14 06:42:14.393	2025-11-14 06:42:14.393
31	SPT Tahunan Badan Usaha	2025-11-14 06:42:14.393	2025-11-14 06:42:14.393
32	Bukti Dokumen Asli	2025-11-14 06:42:14.393	2025-11-14 06:42:14.393
33	Buku Besar	2025-11-14 06:42:14.393	2025-11-14 06:42:14.393
34	Laporan Keuangan	2025-11-14 06:42:14.393	2025-11-14 06:42:14.393
35	Akun PKP	2025-11-14 06:42:14.393	2025-11-14 06:42:14.393
36	Bukti Pendukung Lainnya Menyesuaikan Temuan Pajak	2025-11-14 06:42:15.588	2025-11-14 06:42:15.588
37	Laporan Keuangan Pajak	2025-11-14 06:42:15.588	2025-11-14 06:42:15.588
38	Surat Pajak SP2DK	2025-11-14 06:42:15.588	2025-11-14 06:42:15.588
39	Email	2025-11-14 06:42:16.339	2025-11-14 06:42:16.339
40	Nomor HP	2025-11-14 06:42:16.339	2025-11-14 06:42:16.339
41	NPWP	2025-11-14 06:42:16.339	2025-11-14 06:42:16.339
42	KTP	2025-11-14 06:42:16.339	2025-11-14 06:42:16.339
43	Asset	2025-11-14 07:01:26.429	2025-11-14 07:01:26.429
44	Perencanaan Pajak	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
45	Pajak Daerah (Jika Ada)	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
46	Laporan SPT PPh 25/29	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
47	Laporan PPN (Jika Sudah PKP)	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
48	Laporan PPh Final	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
49	Laporan PPh 23	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
50	Laporan SPT PPh 21 Pegawai	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
51	Rekonsiliasi Bank	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
52	Laporan Laba / Rugi	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
53	Laporan Neraca	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
54	Jurnal Keuangan	2025-11-14 07:01:27.969	2025-11-14 07:01:27.969
55	Bukti Potong PPh (Jika Ada)	2025-11-14 07:01:29.461	2025-11-14 07:01:29.461
56	SPT PPN (Jika PKP)	2025-11-14 07:01:29.461	2025-11-14 07:01:29.461
57	SPT PPh 21 Pegawai (Jika Ada)	2025-11-14 07:01:29.461	2025-11-14 07:01:29.461
58	Laporan Keuangan (Jika Ada)	2025-11-14 07:01:29.461	2025-11-14 07:01:29.461
59	Akun Coretax	2026-01-26 09:15:29.653	2026-01-26 09:15:29.653
60	Akun Coretax Aktif	2026-01-26 10:27:46.472	2026-01-26 10:27:46.472
\.


