1	Pendirian PT	pendirian-pt	Ayo Mulai Bisnis Anda dengan Langkah Tepat! Kami menyediakan layanan pendirian PT yang cepat dan terpercaya yang akan membantu Anda dengan semua aspek legalitas dan perizinan yang dibutuhkan!	2025-10-15 07:53:05.723	2025-11-04 07:05:45.568
2	Pendirian CV	pendirian-cv	Ayo Mulai Bisnis Anda dengan Langkah Tepat! Kami menyediakan layanan pendirian CV yang cepat dan terpercaya yang akan membantu Anda dengan semua aspek legalitas dan perizinan yang dibutuhkan!	2025-10-15 09:04:20.626	2025-11-04 07:06:05.751
3	Website Development	website-development	Optimalkan presensi digital perusahaan Anda dengan layanan pembuatan website kami. Desain estetik, fungsionalitas prima, dan pengalaman pengguna yang menarik, semuanya dalam satu paket. Bersama kami, hadirkan daya tarik dan kekuatan online untuk memperluas jangkauan bisnis Anda.	2025-10-15 09:50:11.785	2025-11-04 07:07:07.19
4	Pendirian Badan Usaha	pendirian-badan-usaha	Mulai Bisnis Anda dengan Langkah Yang Tepat! Kami menyediakan layanan pendirian badan usaha yang cepat dan andal untuk membantu Anda dalam melengkapi semua aspek legalitas dan perizinan yang diperlukan!	2025-11-04 07:08:07.12	2025-11-04 07:08:07.12
5	Hak Kekayaan Intelektual	haki	Lindungi merek, hak cipta, dan paten bisnis Anda dengan layanan HAKI kami, memberikan keunggulan kompetitif.	2025-11-04 07:08:43.047	2025-11-04 07:08:43.047
6	Perizinan Tambahan	perizinan-tambahan	Bantuan penuh pengalaman untuk memperoleh izin tambahan secara cepat dan efisien. Solusi mudah untuk semua kendala perizinan.	2025-11-04 07:09:18.203	2025-11-04 07:09:18.203
7	Social Media Management	social-media-management	Sosial Media Manajemen adalah kunci sukses modern untuk membentuk citra merek yang kuat, berinteraksi secara efektif dengan pelanggan, dan menavigasi dinamika digital dengan kesan yang positif.	2025-11-04 07:12:20.099	2025-11-04 07:12:20.099
8	konsultan pajak	konsultan-pajak	Optimalisasi Pajak Anda dengan Bantuan Ahli Pajak Terpercaya! Bingung dengan urusan pajak? Ganesha Consulting hadir untuk memberikan solusi tepat dan efisien bagi bisnis Anda. Dapatkan konsultasi profesional dan layanan yang komprehensif untuk semua kebutuhan perpajakan Anda.	2025-11-04 07:45:41.508	2025-11-04 07:45:41.508
9	Pelayanan Akuntansi	pelayanan-akuntansi	Dukungan akuntansi terpercaya untuk pencatatan keuangan, pelaporan pajak, dan analisis keuangan yang akurat.	2025-11-04 07:46:17.613	2025-11-04 07:46:17.613
10	Virtual Office	virtual-office	Tingkatkan Profesionalisme Bisnis Anda dengan Layanan Virtual Office Kami	2025-11-04 07:46:53.419	2025-11-04 07:46:53.419
11	Go Space	go-space	Go Space membantu bisnis tampil profesional dengan alamat kantor virtual strategis yang bisa digunakan untuk legalitas, branding, dan kebutuhan operasional.	2025-11-04 07:47:31.72	2025-11-04 07:47:31.72
\.


